equipmentName,weaponType,hands,loadoutCategory,weaponLimitRule,slotAuditStatus,exampleAllowedPair,cardCopyInteraction
Acid Tooth Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Acid Tooth Knife + Acid Tooth Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Amber Bow,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Amber Bow + Amber Bow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Amber Twin Knives,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Amber Twin Knives + Amber Twin Knives,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Amber Poleaxe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Amber Poleaxe + Amber Poleaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Arc Bow,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Arc Bow + Arc Bow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Beacon Guard,shield,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Beacon Guard + Beacon Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Beast Knuckle,fistAndTooth,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Beast Knuckle + Beast Knuckle,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Black Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Black Blade + Black Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Blast Guard,shield,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Blast Guard + Blast Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Blast Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Blast Blade + Blast Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Axe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Axe + Bone Axe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Axe (Broken),axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Axe (Broken) + Bone Axe (Broken),Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Blade + Bone Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Blade (Broken),sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Blade (Broken) + Bone Blade (Broken),Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
