equipmentName,weaponType,hands,colorAffinity,strategyId,strategyName,rampResource,payoffPattern,deckAdvice,cardIds,strategyAuditStatus
Acid Tooth Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,acidToothKnifeOpeningCut; acidToothKnifeTechnique; acidToothKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Amber Bow,bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,amberBowOpeningStrike; amberBowTechnique; amberBowPayoff,PASS: weapon assigned a survivor strategy identity.
Amber Twin Knives,dagger,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,amberTwinKnivesOpeningCut; amberTwinKnivesTechnique; amberTwinKnivesPayoff,PASS: weapon assigned a survivor strategy identity.
Amber Poleaxe,axe,1,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,amberPoleaxeOpeningStrike; amberPoleaxeTechnique; amberPoleaxePayoff,PASS: weapon assigned a survivor strategy identity.
Arc Bow,bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,arcBowOpeningStrike; arcBowTechnique; arcBowPayoff,PASS: weapon assigned a survivor strategy identity.
Beacon Guard,shield,1,blue,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,beaconGuardShieldWall; beaconGuardAnsweringBash,PASS: weapon assigned a survivor strategy identity.
Beast Knuckle,fistAndTooth,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,beastKnuckleOpeningStrike; beastKnuckleTechnique; beastKnucklePayoff,PASS: weapon assigned a survivor strategy identity.
Black Blade,sword,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,blackBladeOpeningCut; blackBladeTechnique; blackBladePayoff,PASS: weapon assigned a survivor strategy identity.
Blast Guard,shield,1,blue,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,blastGuardShieldWall; blastGuardAnsweringBash,PASS: weapon assigned a survivor strategy identity.
Blast Blade,sword,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,blastBladeOpeningCut; blastBladeTechnique; blastBladePayoff,PASS: weapon assigned a survivor strategy identity.
