originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
ACID TOOTH DAGGER,Acid Tooth Knife,Acid Tooth Knife (ACID TOOTH DAGGER),"Unlock: crafted, quarryDiscovery | Location: Gormery | Source: Gorm | Cost: 1 Rubbery Hide; 1 Wet Bone",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Gormery,Gorm,weapon,weapon,dagger,1,"Quick, Precise, Harvest, Poison","Acid Tooth Knife Feint — Cost 0 Attack. [Damage: 3; Break: 4; Status: Apply Poison 2] Deal 3 damage. If targeting a fragile weak point, deal +2 break damage. Apply Poison 2.","Acid Tooth Knife Carve — Cost 1 Attack. [Damage: 5; Break: 3] Deal 5 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If targeting a Head, Eye or Organ weak point, improve harvest quality one step on a break.","Acid Tooth Knife Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile poison/organ weak point improves harvest quality odds.,"Harvest, Poison",Uses dagger weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Gormery.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Gormery (Fen's Dagger Emporium).pdf,verified
ACID TUSK DIRK,Threaded Acid Tusk Dirk,Threaded Acid Tusk Dirk (ACID TUSK DIRK),"Unlock: crafted, quarryDiscovery | Location: Gormery | Source: Gorm | Cost: 1 Rubbery Hide; 1 Wet Bone",Fen's Fan Expansions / Fen's Dagger Emporium,Gormery,Gorm,tool,tool,tool,0,"Tool, Harvest, Retreat, Poison","Threaded Acid Tusk Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Poison, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Gormery (Fen's Dagger Emporium).pdf,verified
ALMANAC,Gutter Almanac,Gutter Almanac (ALMANAC),"Unlock: crafted, quarryDiscovery | Location: Barber Surgeon | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Barber Surgeon,Spidicules,tool,tool,tool,0,"Tool, Harvest, Retreat, Web","Gutter Almanac Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat, Web",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Barber Surgeon.pdf; References - PDF/Community Edition 2.0/KDM - Barber Surgeon (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Barber Surgeon (SIP).pdf,verified
AMBER BOW,Grave Amber Bow,Grave Amber Bow (AMBER BOW),"Unlock: crafted, quarryDiscovery | Location: Cotton Mill | Source: Spurkulese | Cost: 1 Cotton Fibre; 1 Soft Hide; 1 Muscled Fang",Fen's Fan Expansions / Spurkulese,Cotton Mill,Spurkulese,weapon,weapon,bow,2,"Ranged, Marking, Precise","Grave Amber Bow Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Grave Amber Bow Shot — Cost 1 Attack. [Damage: 5; Break: 5] Deal 5 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Grave Amber Bow Pinning Volley — Cost 2 Attack. [Damage: 4 x2; Status: Snared 1] Deal 4 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Spurkulese/KDM - Cotton Mill.pdf,verified
AMBER CELLO (HUNT PHASE),Blackglass Amber Cello (Hunt Phase),Blackglass Amber Cello (Hunt Phase) (AMBER CELLO (HUNT PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,instrument,0,"Support, Party, Panic",Blackglass Amber Cello Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Blackglass Amber Cello Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Party Support: once per hunt, when this survivor uses a support card, the next ally gains +1 Survival. Source tie: its source quarry.","Panic, Party, Support",Uses instrument weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
AMBER CELLO (SHOWDOWN PHASE),Stormbound Amber Cello (Showdown Phase),Stormbound Amber Cello (Showdown Phase) (AMBER CELLO (SHOWDOWN PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,instrument,0,"Support, Party, Panic",Stormbound Amber Cello Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Stormbound Amber Cello Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Party Support: once per hunt, when this survivor uses a support card, the next ally gains +1 Survival. Source tie: its source quarry.","Panic, Party, Support",Uses instrument weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
AMBER DAGGERS,Amber Knifes,Amber Knifes (AMBER DAGGERS),"Unlock: crafted, quarryDiscovery | Location: Silk Mill | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Fen's Fan Expansions / Fen's Dagger Emporium,Silk Mill,Spidicules,weapon,weapon,dagger,1,"Quick, Precise, Harvest, Web","Amber Knifes Feint — Cost 0 Attack. [Damage: 3; Break: 4; Status: Apply Snared 1] Deal 3 damage. If targeting a fragile weak point, deal +2 break damage. Apply Snared 1.","Amber Knifes Carve — Cost 1 Attack. [Damage: 5; Break: 3] Deal 5 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If targeting a Head, Eye or Organ weak point, improve harvest quality one step on a break.","Amber Knifes Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile web/limb weak point improves harvest quality odds.,"Harvest, Web",Uses dagger weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Silk Mill (Fen's Dagger Emporium).pdf,verified
AMBER EDGE,Mourning Amber Edge,Mourning Amber Edge (AMBER EDGE),"Unlock: crafted, quarryDiscovery | Location: Silk Mill | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Silk Mill,Spidicules,tool,tool,tool,0,"Tool, Harvest, Retreat, Web","Mourning Amber Edge Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat, Web",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Silk Mill.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Silk Mill (Fen's Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Silk Mill (SIP).pdf,verified
AMBER POLEAXE,Dusk Amber Poleaxe,Dusk Amber Poleaxe (AMBER POLEAXE),"Unlock: crafted, quarryDiscovery | Location: Silk Mill | Source: Spidicules | Cost: 1 Silk Gland; 1 Chitin Thread; 1 Venom Sac",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Silk Mill,Spidicules,weapon,weapon,axe,1,"Heavy, Brutal, Harvest, Web","Dusk Amber Poleaxe Hew — Cost 1 Attack. [Damage: 9; Break: 6] Deal 9 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Dusk Amber Poleaxe Split — Cost 1 Attack. [Damage: 7; Status: Bleed 2] Deal 7 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Dusk Amber Poleaxe Overhead — Cost 2 Attack. [Damage: 12; Exhaust] Deal 12 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,"Harvest, Web",Uses axe weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Silk Mill.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Silk Mill (Fen's Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Silk Mill (SIP).pdf,verified
ANTELOPE MASK,Wailer Visage,Wailer Visage (ANTELOPE MASK),"Unlock: crafted, quarryDiscovery | Location: Mask Maker | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Mask Maker,Spidicules,charm,head,charm,0,"Charm, Passive, Survival, Web","Wailer Visage Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",Web,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Mask Maker.pdf; References - PDF/Community Edition 2.0/KDM - Mask Maker (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Mask Maker (SIP).pdf,verified
