duplicateGroup,equipmentName,cardName,cardId,change,beforeShortEffect,afterShortEffect,beforeFullEffect,afterFullEffect,beforeCoreFields
1,Satchel,Satchel — Contingency,satchelContingency,consequenceReduction 4->5,"When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 5; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. After use, Exhaust this equipment until the next monster turn.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 5. If retreating, preserve 1 gathered resource. After use, Exhaust this equipment until the next monster turn.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""4"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""exhaust"", ""mechanicFlags"": """"}"
2,Crimson Rose,Crimson Rose — Contingency,crimsonRoseContingency,consequenceReduction 4->5,"When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 5; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. The quarry targets this survivor next unless another card redirects it.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 5. If retreating, preserve 1 gathered resource. The quarry targets this survivor next unless another card redirects it.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""4"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""bait"", ""mechanicFlags"": """"}"
3,Blue Ring,Blue Ring — Omen,blueRingOmen,added rider cleanHands,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; If you have no Bleed, Poison, or Burn, clear Panic 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you deal no HP damage, gain +2 break damage.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you deal no HP damage, gain +2 break damage. If you have no Bleed, Poison, or Burn, clear Panic 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""careful"", ""mechanicFlags"": """"}"
3,Hours Ring,Hours Ring — Omen,hoursRingOmen,added rider lastLight,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; If this would drop you to 0 HP, resolve this card first, then die if still at 0 HP.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you deal no HP damage, gain +2 break damage.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you deal no HP damage, gain +2 break damage. If this would drop you to 0 HP, resolve this card first, then die if still at 0 HP.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""careful"", ""mechanicFlags"": """"}"
4,Nightmare Quiver,Nightmare Quiver — Technique,nightmareQuiverTechnique,block 3->4,"Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 3 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 4 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Gain 3 block. After use, Exhaust this equipment until the next monster turn.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. gain 4 block. After use, Exhaust this equipment until the next monster turn.","{""damage"": """", ""breakDamage"": """", ""block"": ""3"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""exhaust"", ""mechanicFlags"": """"}"
4,Noonshark Arrows,Noonshark Arrows — Technique,noonsharkArrowsTechnique,block 3->5,"Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 3 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 5 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Gain 3 block. After use, Exhaust this equipment until the next monster turn.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. gain 5 block. After use, Exhaust this equipment until the next monster turn.","{""damage"": """", ""breakDamage"": """", ""block"": ""3"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""exhaust"", ""mechanicFlags"": """"}"
5,Shadow Fur Treads,Shadow Fur Treads — Brace,shadowFurTreadsBrace,block 5->6,"Gain 5 block and Guarded 2. If hit before your next turn, reduce Bleed or Panic by 1.","gain 6 block and Guarded 2. If hit before your next turn, reduce Bleed or Panic by 1.","Gain 5 block and Guarded 2. If the next monster hit lands before your next turn, reduce Bleed or Panic by 1 after damage. If the quarry is below half HP, add +1 break damage.","gain 6 block and Guarded 2. If the next monster hit lands before your next turn, reduce Bleed or Panic by 1 after damage. If the quarry is below half HP, add +1 break damage.","{""damage"": """", ""breakDamage"": """", ""block"": ""5"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""bloodied"", ""mechanicFlags"": """"}"
6,Digging Claw,Digging Claw — Contingency,diggingClawContingency,consequenceReduction 4->5,"When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 2 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 5; on retreat, preserve 2 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 2 gathered resource. On a failed harvest, keep one common fallback material.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 5. If retreating, preserve 2 gathered resource. On a failed harvest, keep one common fallback material.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""4"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""2"", ""quirk"": ""salvage"", ""mechanicFlags"": """"}"
7,Calcified Digging Claw,Calcified Digging Claw — Contingency,calcifiedDiggingClawContingency,consequenceReduction 3->4,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If you play a third attack this round, gain Panic 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. If you play a third attack this round, gain Panic 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""3"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""frenzyCheck"", ""mechanicFlags"": """"}"
8,Spider Visage,Spider Visage — Omen,spiderVisageOmen,added rider markedFocus,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; If the quarry is Marked, draw 1 then discard 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If played after blocking, your next Counter gains +2 damage.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If played after blocking, your next Counter gains +2 damage. If the quarry is Marked, draw 1 then discard 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""counterReady"", ""mechanicFlags"": """"}"
