equipmentName,originalKdmName,itemType,slot,weaponType,tier,rarity,cardId,cardName,cost,type,shortEffect,fullEffect,tags,damage,breakDamage,statusApplied,targetProfile,quirk,sourceEquipmentName,sourceOriginalName,equipmentIndex,mechanicalSignature,previousTargetProfile,universalTargeting,universalTargetingNote,colorAffinity,colorAffinityName,colorAffinitySource,canonicalQuarryId,canonicalQuarryName,weaponStrategyId,weaponStrategyName,weaponRampResource,weaponPayoffPattern,weaponStrategyNote,cardCopyEligible,baseCopiesFromOneItem,maxCopiesFromOneItem,extraCopiesUnlockableFromOneItem,copyTrainingTrackKey,copyProgressTrigger,copy2Unlock,copy3Unlock,copyLimitRule,copyAuditStatus,block,opensWeakPoint,firstCounterFree,mechanicFlags,testBonus,archiveAfterUse,consequenceReduction,salvage,prepared,panicGain,phaseRestriction,partyBlock,panicClear,duplicateCorrectionApplied,reveal,statusReduced,reduction,exhaust,guarded,grantedByEquippedArmourSets,conditionalCost,grantedByArmourSet,setId,setCompletePiecesRequired,grantedByAffinity,affinityThresholdRequired
Acid Tooth Knife,ACID TOOTH DAGGER,weapon,weapon,dagger,mid,uncommon,acidToothKnifeOpeningCut,Acid Tooth Knife — Opening Cut,0,attack,Deal 4 damage. Apply Poison 2.,"Deal 4 damage with Acid Tooth Knife. Apply Poison 2. If you already played an attack this turn, add +1 damage or +1 block.","['Quick', 'Precise', 'Harvest', 'Attack']",4,1,{'Poison': 2},Any valid target,followUp,Acid Tooth Knife,ACID TOOTH DAGGER,1,96a5e8bbe80c,Gorm,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,bloatedGodling,Bloated Godling,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.","Stack Bleed, Poison, Burn, Shock or Snared until the quarry buckles under pressure.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid Tooth Knife,ACID TOOTH DAGGER,weapon,weapon,dagger,mid,uncommon,acidToothKnifeTechnique,Acid Tooth Knife — Technique,2,skill,Expose a fragile weak point; next knife attack gains +2 break damage. Also gain 3 block.,"Expose a fragile weak point; next knife attack gains +2 break damage. Gain 3 block. If you already played an attack this turn, add +1 damage or +1 block.","['Quick', 'Precise', 'Harvest', 'Setup']",,,,,followUp,Acid Tooth Knife,ACID TOOTH DAGGER,1,a55d648a3096,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,bloatedGodling,Bloated Godling,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.","Stack Bleed, Poison, Burn, Shock or Snared until the quarry buckles under pressure.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,3,True,False,,,,,,,,,,,,,,,,,,,,,,,
Acid Tooth Knife,ACID TOOTH DAGGER,weapon,weapon,dagger,mid,uncommon,acidToothKnifePayoff,Acid Tooth Knife — Payoff,2,attack,"Deal 5 damage and 2 break damage. If this breaks a weak point, resolve Poison 1 and the followUp rider.","Deal 5 damage and 2 break damage. If the weak point breaks, apply Poison 1 and resolve: If you already played an attack this turn, add +1 damage or +1 block.","['Quick', 'Precise', 'Harvest', 'Payoff', 'WeakPoint']",5,2,{'Poison': 1},Any valid target,followUp,Acid Tooth Knife,ACID TOOTH DAGGER,1,c0f4ccce53c2,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,bloatedGodling,Bloated Godling,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.","Stack Bleed, Poison, Burn, Shock or Snared until the quarry buckles under pressure.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,"{'countsAsCounter': False, 'firstCounterFree': False}",,,,,,,,,,,,,,,,,,,,,,
Acid Tusk Dirk,ACID TUSK DIRK,tool,tool,tool,mid,uncommon,acidTuskDirkUse,Acid Tusk Dirk — Use,1,skill,"Gain +4 to the next harvest, retreat, or weak-point test. If it fails, apply Poison 3 to the quarry or clear it from a survivor.","Gain +4 to the next harvest, retreat, or weak-point test linked to this equipment. On failure, either apply Poison 3 to the quarry or clear that status from a survivor. After use, Exhaust this equipment until the next monster turn.","['Tool', 'Harvest', 'Retreat']",,,{'Poison': 3},,exhaust,Acid Tusk Dirk,ACID TUSK DIRK,2,876761acaebb,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,purple,Purple,equipment,bloatedGodling,Bloated Godling,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,4,False,,,,,,,,,,,,,,,,,,,,
Acid Tusk Dirk,ACID TUSK DIRK,tool,tool,tool,mid,uncommon,acidTuskDirkContingency,Acid Tusk Dirk — Contingency,1,reaction,"When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. After use, Exhaust this equipment until the next monster turn.","['Tool', 'Harvest', 'Retreat']",,,,,exhaust,Acid Tusk Dirk,ACID TUSK DIRK,2,409093ade442,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,purple,Purple,equipment,bloatedGodling,Bloated Godling,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,4,1,,,,,,,,,,,,,,,,,,
Almanac,ALMANAC,tool,tool,tool,mid,uncommon,almanacUse,Almanac — Use,1,skill,"Gain +2 to the next harvest, retreat, or weak-point test. If it fails, apply Snared 1 to the quarry or clear it from a survivor.","Gain +2 to the next harvest, retreat, or weak-point test linked to this equipment. On failure, either apply Snared 1 to the quarry or clear that status from a survivor. On a failed harvest, keep one common fallback material.","['Tool', 'Harvest', 'Retreat']",,,{'Snared': 1},,salvage,Almanac,ALMANAC,3,f74a5cba9e6c,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,purple,Purple,equipment,silkMatriarch,Silk Matriarch,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,2,False,,,,,,,,,,,,,,,,,,,,
Almanac,ALMANAC,tool,tool,tool,mid,uncommon,almanacContingency,Almanac — Contingency,1,reaction,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 2 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 2 gathered resource. On a failed harvest, keep one common fallback material.","['Tool', 'Harvest', 'Retreat']",,,,,salvage,Almanac,ALMANAC,3,f6cd7e671324,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,purple,Purple,equipment,silkMatriarch,Silk Matriarch,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,2,2,,,,,,,,,,,,,,,,,,
Amber Bow,AMBER BOW,weapon,weapon,bow,mid,uncommon,amberBowOpeningStrike,Amber Bow — Opening Strike,1,attack,Deal 3 damage. Apply Shock 2.,"Deal 3 damage with Amber Bow. Apply Shock 2. If you have Guarded, convert 1 Guarded into +2 damage.","['Ranged', 'Marking', 'Precise', 'Attack']",3,2,{'Shock': 2},Any valid target,guarded,Amber Bow,AMBER BOW,4,1d109bb7767c,Spurkulese,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.","Mark, pin or soften the quarry from a distance before committing.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Bow,AMBER BOW,weapon,weapon,bow,mid,uncommon,amberBowTechnique,Amber Bow — Technique,1,skill,"Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 3 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Gain 3 block. If you have Guarded, convert 1 Guarded into +2 damage.","['Ranged', 'Marking', 'Precise', 'Setup']",,,,,guarded,Amber Bow,AMBER BOW,4,79c518a74394,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.","Mark, pin or soften the quarry from a distance before committing.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,3,True,False,,,,,,,,,,,,,,,,,,,,,,,
Amber Bow,AMBER BOW,weapon,weapon,bow,mid,uncommon,amberBowPayoff,Amber Bow — Payoff,2,attack,"Deal 5 damage and 3 break damage. If this breaks a weak point, resolve Shock 1 and the guarded rider.","Deal 5 damage and 3 break damage. If the weak point breaks, apply Shock 1 and resolve: If you have Guarded, convert 1 Guarded into +2 damage.","['Ranged', 'Marking', 'Precise', 'Payoff', 'WeakPoint']",5,3,{'Shock': 1},Any valid target,guarded,Amber Bow,AMBER BOW,4,8eb4c72aba36,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.","Mark, pin or soften the quarry from a distance before committing.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,"{'countsAsCounter': False, 'firstCounterFree': False}",,,,,,,,,,,,,,,,,,,,,,
